,id,행정동,coordinates,인구수,장애등록인원,고령인구수,복지시설밀도,건물3유형,건물2유형,전동휠체어충전소,전동휠체어충전소_bin,Predictions,XGBoost Predictions,SVM Predictions,KNN Predictions,Random Forest Predictions,Decision Tree Predictions,AdaBoost Predictions,LightGBM Predictions,Gradient Boosting Predictions,scaled_Predictions
625,830,수곡면,"[[127.95015537446086, 35.15491060035327], [127.95018021134614, 35.159419064538476], [127.95567006037702, 35.15939854096166], [127.95564492063677, 35.15489008018617], [127.95015537446086, 35.15491060035327]]",22.0,0.932773109,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
680,900,이반성면,"[[128.34529117577506, 35.14378127752314], [128.34533779348095, 35.14828939742907], [128.35082646324653, 35.14825097947653], [128.35077954294655, 35.14374286595361], [128.34529117577506, 35.14378127752314]]",6.0,1.630952381,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
688,909,진성면,"[[128.22494459876722, 35.18964579442649], [128.2249846476843, 35.194154010295534], [128.23047655979346, 35.194121006706624], [128.2304362075629, 35.189612796317945], [128.22494459876722, 35.18964579442649]]",36.0,1.607594937,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
687,908,옥봉동,"[[128.08765166405084, 35.19038982375837], [128.08768412953054, 35.19489816319808], [128.09317624378286, 35.1948713856372], [128.093143474945, 35.1903630506441], [128.08765166405084, 35.19038982375837]]",2073.0,54.75,889.0,6,0,15,2,1,0,0,0,0,0,0,0,0,0,0.0
686,906,수곡면,"[[127.91735617903933, 35.18207935050133], [127.91737922946157, 35.18658781402476], [127.92287092916527, 35.18656876397381], [127.92284757547716, 35.18206030361421], [127.91735617903933, 35.18207935050133]]",65.0,0.932773109,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
685,905,사봉면,"[[128.29097439293054, 35.20275781638861], [128.29101811058882, 35.20726595353377], [128.2965108209879, 35.20722994379957], [128.2964667998387, 35.20272181263289], [128.29097439293054, 35.20275781638861]]",0.0,1.913793103,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
684,904,사봉면,"[[128.2578104061538, 35.18042769609445], [128.2578522563321, 35.18493588527286], [128.2633435071276, 35.18490139900962], [128.2633013537825, 35.18039321555843], [128.2578104061538, 35.18042769609445]]",129.0,1.913793103,71.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0
683,903,유곡동,"[[128.06022345146528, 35.19502831514171], [128.06025440700395, 35.199536672807284], [128.06574686006627, 35.1995111362965], [128.06571560109424, 35.19500278287122], [128.06022345146528, 35.19502831514171]]",13.0,19.77777778,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
682,902,금곡면,"[[128.130993958562, 35.11352700151148], [128.13102871938997, 35.11803536187396], [128.13651562582274, 35.11800667305017], [128.1364805627927, 35.11349831745631], [128.130993958562, 35.11352700151148]]",20.0,0.932773109,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
681,901,금곡면,"[[128.13130708407533, 35.15410212272379], [128.13134191444422, 35.15861045257084], [128.1368315437169, 35.158581720806126], [128.13679641054148, 35.154073395732354], [128.13130708407533, 35.15410212272379]]",48.0,4.13253012,31.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
679,898,장재동,"[[128.09873451718252, 35.20386100986118], [128.09876761141612, 35.208369330195424], [128.1042606215152, 35.20834204093491], [128.10422722372456, 35.203833725131446], [128.09873451718252, 35.20386100986118]]",11.0,10.35897436,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
690,912,초전동,"[[128.1097199228512, 35.20380619126623], [128.10975362419723, 35.208314502497544], [128.1152466193948, 35.20828671488442], [128.11521261449502, 35.20377840826664], [128.1097199228512, 35.20380619126623]]",4938.0,10.35897436,428.0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0.0
678,897,망경동,"[[128.07657248686468, 35.17691755798827], [128.07660432440676, 35.181425916360524], [128.08209554312995, 35.181399650002916], [128.0820634024286, 35.17689129599314], [128.07657248686468, 35.17691755798827]]",506.0,48.47058824,214.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0
677,896,집현면,"[[128.09347149100043, 35.235446248018995], [128.09350433268486, 35.239954549107225], [128.0989994769325, 35.239927477585084], [128.09896633121724, 35.23541918098969], [128.09347149100043, 35.235446248018995]]",6.0,2.517241379,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
676,895,일반성면,"[[128.29062500091447, 35.16669259647013], [128.29066864098158, 35.17120076089282], [128.29615892533914, 35.17116479896817], [128.29611498231972, 35.16665664051875], [128.29062500091447, 35.16669259647013]]",65.0,3.188679245,41.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
675,894,옥봉동,"[[128.093143474945, 35.1903630506441], [128.09317624378286, 35.1948713856372], [128.09866835075778, 35.19484435902142], [128.0986352785634, 35.19033602851626], [128.093143474945, 35.1903630506441]]",213.0,54.75,96.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
674,893,상평동,"[[128.11494084696406, 35.167711833229106], [128.11497479150887, 35.17222016697737], [128.12046535262397, 35.17219216741451], [128.12043110506582, 35.1676838383171], [128.11494084696406, 35.167711833229106]]",267.0,32.45454545,70.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
673,892,진성면,"[[128.2304362075629, 35.189612796317945], [128.23047655979346, 35.194121006706624], [128.23596846294132, 35.1940877540926], [128.23592780739918, 35.18957954922564], [128.2304362075629, 35.189612796317945]]",7.0,1.607594937,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
672,891,상대동,"[[128.11504270321575, 35.18123682430179], [128.1150766703812, 35.185745147877576], [128.12056814094024, 35.185717134359166], [128.1205338705595, 35.18120881543574], [128.11504270321575, 35.18123682430179]]",1771.0,56.0,450.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
