index,name,parking_type,road_address,jibun_address,유형,위도,경도
19,서부시장입구공중전화(옥외),공중전화,경남 진주시 진주대로1163번길 7-1,,옥외,35.1949926,128.0762806
20,백성세탁앞공중전화(옥외),공중전화,경남 진주시 솔밭로123번길 1,상대동 332-1,옥외,35.1826175,128.1103732
21,개양오거리앞공중전화(옥외),공중전화,경남 진주시 가좌동 631-5,,옥외,35.159568,128.1076234
22,경대_도서관우측공중전화(옥외),공중전화,경남 진주시 가좌동 879,경남 진주시 가좌동 879,옥외,35.1542583,128.0988087
23,탑마트주약점입구공중전화(옥외),공중전화,경남 진주시 진주대로 784,주약동 21-4,옥외,35.1710249,128.0956763
24,진주남중옆공중전화(옥외),공중전화,경남 진주시 칠암동 379-5,,옥외,35.1814515,128.0899482
25,비봉약국앞공중전화(옥외),공중전화,경남 진주시 봉곡동 492,경남 진주시 봉곡동 492,옥외,35.1942158,128.073711
26,도동초교건너공중전화(옥외),공중전화,경남 진주시 하대동 291-1,경남 진주시 하대동 291-1,옥외,35.1926523,128.1164557
27,진주고속터미널입구우공중전화(옥외),공중전화,경남 진주시 동진로 18,칠암동 409,옥외,35.1791321,128.092256
28,가좌주공아파트_209동옆공중전화(옥외),공중전화,경남 진주시 가호로 26,가좌동 660,옥외,35.1621279,128.1097718
29,전자랜드옆공중전화(옥외),공중전화,경남 진주시 촉석로126번길 9,,옥외,35.192635,128.0765573
30,진주고용센타옆공중전화(옥외),공중전화,경남 진주시 장대동 139,경남 진주시 장대동 139,옥외,35.1940764,128.0872345
31,평거동신아파트경비실앞공중전화(옥외),공중전화,경남 진주시 진양호로125번길 22-12,평거동 401,옥외,35.1709504,128.0526927
32,예그린진양호점앞공중전화(옥외),공중전화,경남 진주시 판문로 137,,옥외,35.1792804,128.0416522
33,일신문구마트앞공중전화(옥외),공중전화,경남 진주시 창렬로 95,상봉동 1109,옥외,35.1967089,128.0682546
34,가좌주공아파트_꿈나무어린이집앞공중전화(옥외),공중전화,경남 진주시 가호로 26,가좌동 660,옥외,35.1621279,128.1097718
35,평거주공2차아파트관리소앞공중전화(옥외),공중전화,경남 진주시 진양호로125번길 6,평거동 392,옥외,35.1691,128.0537983
36,금산북진주I-PARK아파트공중전화(옥외),공중전화,경남 진주시 금산면 중천로 82,장사리 965-1,옥외,35.2164068,128.1455667
37,문산휴게소공중전화(옥외),공중전화,경남 진주시 남해고속도로 195,,옥외,35.1711344,128.1516968
38,장안미소의원옆공중전화(옥외),공중전화,경남 진주시 신안동 341,경남 진주시 신안동 341,옥외,35.1829224,128.0674766
39,진주시외버스터미널앞공중전화(옥외),공중전화,경남 진주시 장대동 108-1,경남 진주시 장대동 108-1,옥외,35.1918627,128.0884918
40,CU진주정촌산단점입구공중전화(옥내),공중전화,경남 진주시 정촌면 정촌로 102,예하리 1302-8,옥내,35.1282672,128.1052148
41,집현우체국앞공중전화(옥외),공중전화,경남 진주시 집현면 장흥리 716-3,,옥외,35.2320895,128.1015291
42,성덕도입구공중전화(옥외),공중전화,경남 진주시 비봉로97번길 15-7,상봉동 1440,옥외,35.1983829,128.0774996
43,CU진주상봉점앞공중전화(옥외),공중전화,경남 진주시 창렬로 95,,옥외,35.1967089,128.0682546
44,상대현대아파트팔각정공중전화(옥외),공중전화,경남 진주시 모덕로181번길 12,상대동 472,옥외,35.1871197,128.113239
45,경남은행동지점앞공중전화(옥외),공중전화,경남 진주시 솔밭로123번길 1,,옥외,35.1826175,128.1103732
46,예술회관뒤공중전화(옥외),공중전화,경남 진주시 칠암동 540,경남 진주시 칠암동 540,옥외,35.1870153,128.0920817
47,공단슈퍼앞공중전화(옥외),공중전화,경남 진주시 상대동 334-1,경남 진주시 상대동 334-1,옥외,35.1808835,128.1161908
48,파리바게트진주강남점공중전화(옥외),공중전화,경남 진주시 칠암동 320-6,경남 진주시 칠암동 320-6,옥외,35.1844989,128.0884353
49,진주경찰서민원실1층공중전화(옥내),공중전화,경남 진주시 비봉로24번길 3,중안동 10,옥내,35.1932364,128.0816705
50,삼현여중1층동편공중전화(옥내),공중전화,경남 진주시 돗골로 115,상평동 218-1,옥내,35.178056,128.1114767
51,주약동현대아파트상가앞공중전화(옥외),공중전화,경남 진주시 진주대로 805,주약동 360,옥외,35.1720664,128.0929171
52,상평동장원슈퍼앞공중전화(옥외),공중전화,경남 진주시 도동천로 62,,옥외,35.1736674,128.110484
53,봉곡동시외버스정류소옆공중전화(옥외),공중전화,경남 진주시 봉곡동 492,경남 진주시 봉곡동 492,옥외,35.1942158,128.073711
54,금산흥한아파트상가앞공중전화(옥외),공중전화,경남 진주시 금산면 금산로 123,장사리 1000,옥외,35.214931,128.1501535
55,관봉초등학교본관1층공중전화(옥내),공중전화,경남 진주시 정촌면 정촌로 629,관봉리 1150,옥내,35.1367251,128.1434775
56,경대_부설고교공중전화(옥외),공중전화,경남 진주시 가좌동 산182-1,,옥외,35.1574226,128.0955227
57,금산느티나무상가우측공중전화(옥외),공중전화,경남 진주시 금산면 중천로 74,장사리 963-1,옥외,35.2176881,128.1446497
